date,prompt
"26-06-2026","we are going to start working in lynq-app-frontend"
"27-06-2026","Save standing project instructions: (1) brand colors light blue + purple, parametrized; (2) respect folder structure (components/pages/etc); (3) each component/page has its own css file inheriting from index.css; (4) each component/page has its own .js behaviour file. Save for all future sessions."
"27-06-2026","add function user_authenticate in auth_service.js with parameters username[string], password[string]; it calls endpoint /auth/login/username per the iam_openapi.yaml spec in lynq-iam."
"27-06-2026","Convention for all future functions: declare the functions and export them all together in an object at the end of the file."
"27-06-2026","do the same for email_authenticate. Endpoint specification is in the same file."
"27-06-2026","implement /auth/validate and /auth/userinfo"
"27-06-2026","implement user_register: a function that takes all userInfo and calls /auth/register endpoint. Use another fetch call."
"27-06-2026","implement user_update_password: a function that calls /auth/update-password and generates a new password, refresh token and access token. Use a new fetch call."
"27-06-2026","implement function refresh_access_token: takes a refresh_token[string], calls /auth/refresh to generate a new access token and returns this value in a promise."
"27-06-2026","implement /auth/validate and /auth/user-info"
"27-06-2026","create loginPage centered with flex containing title ""Bienvenido a LYQN"", subtitle ""Que Buscar un trabajo no sea un trabajo"", and a form with Usuario/Email and Contraseña inputs plus Loguearse and Registrarse buttons."
"27-06-2026","use arrow functions not regular javascript functions. apply this change to login page and auth service"
"27-06-2026","move LoginPage into login folder"
"27-06-2026","add inline error if user tries to click button ""Login"" and the inputs are blank or null"
"27-06-2026","create a toast component to display errors. that will be used later"
"27-06-2026","yes include any error in catch and displays it as a toast"
"27-06-2026","move all labels and constant into a i18n file in case I want to use different languages"
"27-06-2026","Add behaviour when user click ""Registrarse"" button in login page. App should redirect into a new page ""/register""
"27-06-2026","step 1. Title and subtitle should be a separate component and static. this part should not change between navigation. Make it a separate component under components folder"
"27-06-2026","LyNQ title is to above, add upper padding for better centering. Make Siguiente Button smaller and add a botton padding for better centering. Also the button should be a page footer because it will remain static across all navigation of the caroussel"
"27-06-2026","add a new field for date of birth for the user"
"27-06-2026","didn't I tell you to have all components within components folder? why do I see lots of component under register folder?"
"27-06-2026","rename RegisterLayout to RegisterPage"
"27-06-2026","remove text Completá tus datos / Con esto creamos tu cuenta en LYNQ to make more space to the form"
"27-06-2026","change date format from dd/mm/yyyy to yyyy-mm-dd"
"27-06-2026","add a label component that shows the total of steps for the registration to finish. in the case of users LYNQ para candidatos there are only two steps but for companies there are three"
"27-06-2026","add calendar component next to date of birth input. Make it an isolate component. user can select the date by typping it or selecting the date from the calendar""27-06-2026","display toast with error if backend fails when trying to create an account"
"27-06-2026","make the toast to appear from the bottom"
"27-06-2026","in login page add a check component with legend ES: recordarme? EN: remember me?"
"27-06-2026","In register page add password validation to match the requirements for the backend in AuthController.java"
"27-06-2026","add valid url validation on steps 3 and 4 in register flow"
"27-06-2026","add docker file for lynq-app-frontend"
"27-06-2026","rename these env vars VITE_IAM_BASE_URL => LYNQ_IAM_BASE_URL, VITE_APP_BASE_URL => LYNQ_BACKEND_BASE_URL"
"27-06-2026","include lyqn-app-frontend docker into the docker-compose.yml"
"28-06-2026","create a mock page in url \"/home\" will define behaviour later"
"28-06-2026","/home page must be only accessible in an authenticated context. if no accessToken, refreshToken and user context is set. site must redirect to login page"
"28-06-2026","let's implement login behaviour. if user logins site must redirect to /home page it should save context (accessToken, RefreshToken,id, username,email, creation date ). all fields returned by backend login endpoint"
"28-06-2026","then, if user login and \"remind me\" check is enabled. it should save the user information + refresh token in the local storage"
"28-06-2026","Integrate user register page with backend. it should create an user. store its auth context the same way as the login page and redirect to /home page"
"28-06-2026","each functionality must be traced by the same lynq-request-uuid. for example If I register an user. the same request uuid has to be used when infoking lynq-iam and lynq-backed"
"29-06-2026","check lynq-app-frontend. Once the user has been logged. he cannot access to login page or register page"
"29-06-2026","edit home page, add a left side menu bar that can be collapse. Make it a separate component. I will define the behaviour later"
"29-06-2026","in the side bar, add a profile image. will use the profile image link from the user if not null. otherwise fallback to regular user icon. for the menu options set Profile, My Resume. at the end of the side bar set Logout option with logout icon. This will perform the logout action and remove all auth from react state + local storage refresh token removal"
"29-06-2026","remove LYNQ label from the side bar. Locate profile image and Full Name above"
"29-06-2026","enable redux devtool extension for this project when in development"
"29-06-2026","place user icon and user full name above. like it was a header. make user icon smaller"
"29-06-2026","fix sidebar. when it is hidden. it shouldnt show user icon"
"29-06-2026","add new option above Perfil. called Pagina Principal or home. This will always redirect to /home"
"29-06-2026","when the user logins also call GET /user to fetch user profile"
"29-06-2026","make the sidebar fixed/persistent across pages via a shared layout route"
"29-06-2026","add mock pages per user type (candidate: home/profile/my-resume/applications; company: home/profile/my-company/my-job-posts) and adapt sidebar menu by user type"
"29-06-2026","add a button back to login in registration page"
"29-06-2026","the go back to login button where it is? it should be a link in the Register Footer in case the user miss clicked from the login page"
"29-06-2026","place Back to login link at the bottom right of the footer; less padding between attention label and next button; make the button 10% smaller"
"29-06-2026","Place carrousel text for steps below legend Choose the option that best fits your profile. and place it at the right end"
"29-06-2026","reduce 20% top padding and 50% bottom padding from steps text in registration page"
"29-06-2026","reduce the bottom padding 30% more"
"29-06-2026","reduce bottom padding between account type cards and the break line drawn below"
"29-06-2026","make text of button back to login underlined"
"29-06-2026","update profile page using fields from UpdateUserProfileRequest.java (fullName, userProfileImageUrl, currentPosition, about, githubUrl, linkedinUrl, birthDate, password) — bring the page and do the binding only"
"29-06-2026","make the font a little bit smaller""29-06-2026","in profile page add another password input so the user confirms its password before changing"
